ax,ay,az,gx,gy,gz,label
-0.2881,-0.0400,0.3784,2.5024,-2.8687,-9.3994,updown
-0.2477,-0.0476,0.4365,14.1602,14.3433,-4.2725,updown
-0.2428,-0.1029,0.3917,18.4937,39.2456,0.9766,updown
-0.1913,-0.1434,0.4707,5.0659,53.0395,2.5635,updown
-0.1814,-0.1553,0.5605,5.4932,69.5190,7.2632,updown
-0.0804,-0.2059,0.6226,4.8218,89.8437,3.6621,updown
-0.1528,-0.1000,0.3870,1.1597,52.7954,11.6577,updown
-0.0870,-0.1259,0.5328,5.1880,74.8901,16.1133,updown
-0.0142,-0.1993,0.4937,-7.3853,81.5430,26.8555,updown
0.0132,-0.2975,0.6113,-0.6104,111.8774,17.8833,updown
0.1663,-0.2778,0.9839,2.2583,109.4360,6.2866,updown
0.1820,-0.2366,1.3469,-36.7432,111.0229,10.5591,updown
0.1046,-0.0626,1.6212,-23.1323,98.0835,-9.9487,updown
-0.0330,-0.0664,1.4956,15.1978,61.8896,-0.3052,updown
-0.1202,-0.2025,1.4838,-9.6436,58.1055,17.2729,updown
-0.0642,-0.2323,1.7426,-18.6157,49.9878,21.1792,updown
-0.0189,-0.3212,1.8976,-7.2632,1.7700,12.2070,updown
0.0503,-0.2827,1.6865,18.5547,-40.1001,-6.8359,updown
0.0530,-0.1946,1.5482,12.4512,-68.9087,-5.3711,updown
0.0796,-0.1804,1.3494,-3.9062,-81.0547,1.6479,updown
0.0674,-0.1991,1.1876,1.8921,-89.4165,-4.4556,updown
0.0327,-0.1587,1.1030,-3.2959,-97.7173,-7.3242,updown
-0.0155,-0.1550,0.9784,-3.1128,-100.6470,1.7090,updown
-0.1005,-0.1182,0.7750,7.0801,-90.9424,7.5684,updown
-0.0981,-0.2527,0.7308,24.2920,-59.2041,17.7612,updown
-0.0999,-0.2302,0.6592,3.2349,-53.8330,8.1787,updown
-0.1484,-0.1315,0.5637,13.3057,-51.7578,-2.8076,updown
-0.1654,-0.1008,0.4972,24.5361,-32.7148,0.1831,updown
-0.0940,-0.2036,0.5619,6.4087,-17.2119,-2.1362,updown
-0.1405,-0.1073,0.4629,16.4185,-12.6953,-6.9580,updown
-0.1445,-0.1505,0.4017,31.7383,7.5073,-5.9204,updown
-0.1467,-0.1863,0.4021,10.7422,33.8745,1.5869,updown
-0.1827,-0.1869,0.4612,-3.1738,46.3257,9.3384,updown
-0.0959,-0.2057,0.5389,-6.9580,74.0967,11.1084,updown
-0.1135,-0.1670,0.6637,15.3198,83.9233,10.4980,updown
-0.0596,-0.3352,0.6842,59.3262,99.9145,-13.6108,updown
0.0764,-0.2917,0.9644,7.5684,96.2524,-8.3008,updown
0.0521,-0.1957,1.1605,-28.4424,99.1211,13.7939,updown
0.1135,-0.2666,1.3896,-28.3813,87.1582,4.5776,updown
0.0443,-0.3198,1.5668,-9.9487,67.7490,6.9580,updown
0.0107,-0.3274,1.5454,1.2207,45.7764,11.6577,updown
0.0067,-0.3788,1.5588,-9.7656,23.1323,8.7280,updown
