ax,ay,az,gx,gy,gz,label
0.0972,0.0619,1.0571,-10.9253,2.7466,-7.6294,circle
0.1539,0.1151,1.1145,-18.9819,3.8452,-1.2207,circle
0.1777,0.1237,1.1177,-3.4790,-11.5356,9.9487,circle
0.1738,0.0937,1.0361,-8.4839,-21.5454,29.9072,circle
0.1729,0.0383,0.9479,-6.1646,-19.7144,35.0342,circle
0.2078,-0.0052,0.9736,0.7935,-14.5874,38.3301,circle
0.2510,-0.0645,0.9507,-2.0142,-11.6577,45.7764,circle
0.2579,-0.1161,0.9468,-2.1973,-9.8877,47.2412,circle
0.2770,-0.1713,0.9578,-0.3662,-13.8550,41.5649,circle
0.2726,-0.1921,0.9496,4.2114,-11.4746,40.9546,circle
0.2754,-0.2732,0.9705,3.1738,-12.2681,40.1001,circle
0.2393,-0.2365,0.9391,17.5781,-12.9395,25.9399,circle
0.1953,-0.2875,0.9282,20.5078,-10.6201,16.7847,circle
0.1259,-0.3195,0.9042,1.8921,-4.0894,15.8081,circle
0.0552,-0.4015,0.9132,-7.4463,3.2959,10.4980,circle
0.0239,-0.4269,0.9166,-6.8970,15.1367,-3.2349,circle
-0.0046,-0.4020,1.0308,-4.9438,16.8457,-15.8081,circle
-0.0361,-0.3678,1.0405,6.0425,15.4419,-26.9775,circle
-0.0822,-0.3615,1.0178,14.5264,15.1367,-36.8652,circle
-0.0834,-0.2805,1.0297,14.2212,16.4795,-46.6919,circle
-0.0946,-0.2169,1.0236,8.1787,13.0615,-45.1050,circle
-0.0577,-0.1404,1.0859,4.3945,11.3525,-41.3818,circle
-0.0586,-0.0916,1.0892,3.6011,2.4414,-38.0859,circle
-0.0405,-0.0638,1.0331,3.7231,-1.8921,-32.6538,circle
-0.0302,-0.0491,1.0284,-9.7046,-4.6997,-21.8506,circle
-0.0055,-0.0232,0.9962,-10.1929,-6.8359,-17.7002,circle
0.0476,0.0135,1.0703,-18.0054,-6.0425,-14.0991,circle
0.0687,0.0574,1.0658,-17.0898,-11.9019,-6.9580,circle
0.0806,0.0740,1.0616,-20.0806,-18.0664,6.5308,circle
0.0684,0.0881,0.9985,-16.8457,-16.4795,16.7847,circle
0.0858,0.0665,0.9988,-9.6436,-16.1743,27.1606,circle
0.1167,0.0734,0.9664,-10.6201,-15.3198,34.6069,circle
0.1287,-0.0099,0.9550,-12.0239,-6.4697,46.6309,circle
0.1519,-0.0774,0.9652,-13.3667,-6.4087,46.0815,circle
0.1763,-0.0900,0.9934,-14.4043,-8.1787,44.1284,circle
0.1896,-0.0709,0.9985,-8.1787,-11.9629,42.0532,circle
0.1975,-0.1440,1.0117,-8.6060,-8.6670,42.1143,circle
0.1821,0.1161,0.9333,5.6763,-16.1133,46.3257,circle
0.2220,0.0630,0.9611,8.9722,-10.3149,51.8188,circle
0.2701,-0.0615,0.9684,2.6855,-11.6577,63.7817,circle
0.2756,-0.1409,0.9265,-2.3804,-17.8223,63.1714,circle
0.2953,-0.2865,0.9633,-1.7090,-7.6904,59.2041,circle
0.2603,-0.3387,0.9883,-10.8643,-10.5591,49.8047,circle
0.2047,-0.3651,0.9087,-6.8359,-6.7139,31.9824,circle
0.1555,-0.2640,0.9220,7.6294,-8.4229,8.6060,circle
0.1090,-0.1799,0.8929,11.2305,3.0518,5.3711,circle
0.0852,-0.2452,0.9989,6.6528,8.4229,14.8926,circle
0.0070,-0.2393,0.9708,16.2964,-3.1738,14.4043,circle
-0.0217,-0.2589,0.9615,12.6343,9.8267,7.8735,circle
0.0284,-0.4866,1.4366,-32.7148,28.4424,1.4648,circle
-0.0498,-0.2601,0.8923,34.6069,-31.9214,-10.3149,circle
-0.0465,-0.4729,0.9573,50.3540,20.9351,-42.1753,circle
-0.0227,-0.3918,1.0023,13.8550,17.3950,-53.5278,circle
-0.0530,-0.3162,0.9276,-8.3008,13.4888,-54.1382,circle
-0.0364,-0.2568,0.9293,-10.4980,23.8037,-62.0117,circle
0.0028,-0.1340,1.0571,-9.7046,33.2031,-66.2842,circle
0.0018,-0.0652,1.0571,0.9155,14.1602,-58.0444,circle
0.0105,-0.0332,1.0453,-4.6387,9.5825,-45.6543,circle
0.0175,0.0352,1.0862,-13.9770,13.7329,-30.8228,circle
0.0377,0.0472,1.1001,-3.6011,2.6245,-24.3530,circle
0.0359,0.0433,1.0457,-0.9766,-6.8970,-13.3667,circle
0.0712,0.0937,1.0194,-18.6157,-0.9155,-8.1177,circle
0.1107,0.1201,1.0886,-3.6011,-0.3052,-4.0894,circle
0.1604,0.1348,1.1010,-17.1509,-9.4604,12.7563,circle
0.1805,0.1373,1.0475,-18.7378,-15.1978,21.7895,circle
0.2147,0.1488,1.0264,-2.8076,-20.5688,32.5317,circle
0.2609,0.0896,1.0396,-7.0190,-22.8882,48.8281,circle
0.2715,0.0392,0.9777,-0.1831,-28.7476,59.8144,circle
0.2703,-0.0795,0.9186,12.1460,-23.7427,59.7534,circle
0.2645,-0.1329,0.9243,3.0518,-18.7378,59.9976,circle
0.2537,-0.1855,0.9214,2.6855,-18.1885,58.5937,circle
0.2167,-0.2014,0.9095,8.3008,-15.6250,52.5513,circle
0.1774,-0.2511,0.9038,6.8359,-14.0991,48.4009,circle
0.1230,-0.2471,0.8619,2.6245,-9.0942,39.4897,circle
0.1256,-0.3691,0.9321,-14.5874,3.0518,36.2549,circle
0.0314,-0.3867,0.9462,-28.4424,10.1318,18.7988,circle
0.0140,-0.4363,1.0023,-12.2681,12.3901,-2.3804,circle
-0.0402,-0.4844,1.0061,-3.6011,11.4746,-16.7236,circle
-0.0796,-0.5255,1.0088,-4.2114,14.8926,-42.6636,circle
-0.1104,-0.4120,0.9863,2.7466,17.8833,-65.8569,circle
-0.1256,-0.2938,0.9810,13.9160,24.7803,-79.2236,circle
-0.0986,-0.1536,1.0361,15.3198,27.8320,-81.8481,circle
-0.0664,-0.0359,1.1111,2.4414,27.9541,-72.2046,circle
-0.0800,0.0537,1.0958,3.5400,17.1509,-56.8848,circle
-0.0626,0.0408,1.0348,4.3335,12.9395,-42.8467,circle
0.0505,0.1781,1.1663,-20.3247,18.8599,-36.9263,circle
0.0275,0.1870,1.1680,6.7749,0.7935,-23.9258,circle
-0.0193,-0.0441,1.0396,-4.0894,10.0098,-43.2129,circle
0.0209,0.0139,1.0574,-12.1460,10.7422,-39.0015,circle
0.0729,-0.0404,1.1105,-11.6577,1.6479,-36.0107,circle
0.1532,0.0505,1.1295,-14.6484,-9.7656,-40.8325,circle
0.1382,0.1246,1.0566,-0.7324,-21.6064,-38.7573,circle
0.1652,0.2118,1.0333,-5.1880,-19.0430,-23.8647,circle
0.1820,0.2917,1.0547,-18.2495,-17.6392,8.5449,circle
0.1821,0.2725,1.0021,-11.1694,-23.1934,29.5410,circle
