ax,ay,az,gx,gy,gz,label
0.1210,-0.1024,1.7982,49.4385,50.2319,32.6538,background
-0.1040,-0.2769,1.5944,34.9731,-23.8647,20.7520,background
-0.1305,-0.3654,1.7179,17.5171,-17.3340,12.6343,background
-0.0890,-0.2461,1.3928,-18.4937,-36.9263,17.0898,background
-0.0112,-0.3379,1.5742,-16.3574,-59.4482,4.5776,background
-0.0094,-0.2538,1.6923,2.2583,-135.4370,-22.5830,background
0.0245,-0.2303,1.2614,-28.9917,-159.6680,-24.2920,background
-0.0394,-0.1720,0.9130,-8.3618,-197.8760,-20.6299,background
-0.1760,-0.1189,0.3674,-32.2266,-184.3872,-28.7476,background
-0.2086,0.0087,-0.0890,-26.9165,-126.7090,-29.7241,background
-0.3043,0.1182,-0.3853,17.3950,-61.8896,-21.8506,background
-0.3032,-0.0438,-0.5758,60.9131,50.7812,9.8267,background
-0.1550,-0.1759,-0.0217,132.7515,218.8110,33.9966,background
-0.0626,-0.6963,1.7915,193.4204,249.5727,49.0112,background
0.0791,-0.4194,2.3718,-18.9209,162.4756,6.2866,background
0.0345,-0.2764,2.0624,-74.4019,25.0244,114.8682,background
-0.1094,-0.4160,1.6886,-164.1846,17.4561,111.1450,background
-0.1974,-0.3586,0.8582,-271.0571,-25.2075,12.2681,background
-0.1499,0.1033,0.8074,38.6353,65.0024,-24.9634,background
-0.1467,-0.0835,0.3357,127.4414,-115.9058,15.0146,background
-0.2062,-0.0813,0.1986,137.2070,-156.5552,-13.1836,background
-0.0321,-0.0719,0.8099,165.1001,-47.4243,0.2441,background
0.0027,-0.0306,0.6691,39.5508,124.3286,13.3667,background
0.1780,-0.1111,0.3479,130.0659,98.5107,58.7158,background
0.5049,0.0369,0.5010,276.8555,37.8418,66.3452,background
0.0948,0.0941,0.0625,123.9014,33.1421,-55.6030,background
-0.6610,-0.4911,1.1320,-995.6054,241.3330,29.6631,background
-0.1851,0.1232,1.3182,-19.8975,89.4775,-73.6084,background
0.2557,-0.0294,1.1093,-13.4277,-83.7402,-0.3052,background
-0.0051,-0.0670,0.9506,-12.2681,57.9224,-4.4556,background
0.1096,-0.0081,1.1941,-12.6953,-15.1367,-10.4370,background
-0.0132,-0.0442,0.9908,20.7520,-17.8833,8.1177,background
0.0232,0.0088,1.0177,-2.1362,-15.5640,-1.3428,background
0.6021,0.1005,1.1674,-93.1396,-327.0263,13.1836,background
0.3103,0.1758,1.1511,-59.5093,-54.0161,-48.2178,background
0.3439,0.3862,1.5249,45.8984,-140.9302,-69.8853,background
-0.4031,-1.2938,1.8059,126.3428,98.7549,-54.7485,background
0.0448,0.1469,0.7631,-53.5278,-12.5122,-89.8437,background
0.3226,-0.1174,1.1976,-12.1460,34.5459,5.2490,background
-0.0005,-0.0684,1.2808,-38.2080,10.3149,10.9863,background
0.2074,0.0598,1.7596,-113.4643,83.9844,49.7436,background
0.3915,0.0438,1.1873,18.4326,32.9590,0.1221,background
0.4377,0.1720,1.4973,62.5610,102.4170,-5.7983,background
0.5013,0.0876,1.1960,-30.0903,115.9668,-11.5967,background
0.5386,0.0315,0.9456,-36.4380,107.6050,-3.5400,background
0.6709,0.1505,0.8759,9.7656,102.8442,9.5825,background
0.8063,0.1433,0.9126,-5.2490,19.3481,3.3569,background
0.5079,0.1453,0.6677,51.9409,-99.3042,-8.1177,background
0.4581,0.0997,0.6882,47.4243,-84.7168,4.4556,background
0.3870,0.0776,0.6534,43.2129,-73.1812,-0.3662,background
0.3413,-0.0256,0.7097,47.6685,-26.2451,-7.4463,background
0.4506,-0.0028,0.7579,39.6729,27.8931,-13.7329,background
0.3285,-0.1270,0.8320,39.3066,-37.1704,-8.1177,background
0.1818,-0.1254,0.8409,52.8564,-16.4185,-11.8408,background
0.2648,-0.1248,0.9395,25.0854,-19.2261,3.6621,background
0.3292,-0.1315,0.9264,-5.0659,-24.1699,11.4746,background
0.2755,-0.2427,0.7983,-36.4380,-13.6108,-0.2441,background
0.2390,-0.0947,0.7601,-150.2686,22.7051,-53.5278,background
0.1479,0.0071,0.7094,-173.8281,29.6020,-34.5459,background
-0.0157,0.1486,0.7329,-162.5976,108.2153,-21.4844,background
0.5649,0.3628,0.8148,-261.6577,149.2920,10.8032,background
0.3170,0.6045,0.7094,-227.5390,126.1597,58.3496,background
0.9120,0.5472,0.6102,15.8081,148.8647,78.6743,background
1.0898,0.7157,0.6833,20.5078,117.1265,76.4771,background
1.0057,0.6810,0.9308,31.5552,98.1445,66.1621,background
0.7665,0.7513,0.8065,28.8696,11.0474,32.9590,background
0.2632,0.7128,0.5457,11.6577,-35.7666,1.8311,background
-0.0446,0.5492,0.4956,66.8335,-32.1045,20.6299,background
0.3718,0.2729,0.4719,143.0664,-44.9219,1.2817,background
0.9862,0.0344,0.4662,247.4365,-85.0220,-23.8037,background
0.9423,-1.1187,1.2916,250.7324,-96.9849,-30.2124,background
1.0808,0.1768,1.1475,-176.7578,-35.7056,-48.0957,background
0.1090,0.2949,0.6808,-13.7329,-156.1890,-39.2456,background
-0.4845,0.9048,0.5381,98.4497,-106.9946,-77.5757,background
-0.4041,0.7185,0.7854,-37.7197,55.0537,131.8970,background
0.1582,0.4153,0.9315,-111.2671,188.5986,160.0342,background
0.6812,-0.4626,1.0981,141.4185,42.4194,55.4810,background
1.4734,0.0249,0.8391,9.0942,-31.7383,-136.8408,background
1.6147,0.5089,0.7281,-40.2222,-30.2734,-55.1758,background
0.5109,0.6613,0.8170,-43.7012,-44.5557,24.1089,background
-0.6538,0.4263,1.1993,-46.9971,-33.0200,61.0352,background
-0.0511,0.0511,0.8040,45.7764,-42.0532,63.1103,background
-0.0676,0.4395,-0.0629,-52.7954,57.3120,-32.2266,background
0.7209,0.6249,0.4241,13.3057,-13.0005,18.3716,background
0.6715,0.4149,0.7319,38.2080,-25.8789,15.9912,background
1.0780,0.3768,0.9668,3.9062,-7.8125,15.1367,background
1.3544,0.6340,0.8988,-49.0723,17.1509,23.8037,background
1.2809,0.6536,0.8103,-169.0674,47.5464,111.8774,background
0.6356,0.6450,0.2872,-217.8345,10.8643,159.9731,background
0.3132,0.9745,-0.5619,-207.3364,-43.3960,129.5776,background
-0.1605,0.8293,-1.4073,-102.4170,-96.9849,12.5122,background
-0.0974,1.1813,-1.7675,-59.8144,-117.6758,-87.8296,background
-0.0084,0.7891,-1.1885,1.7090,-53.2227,-170.1050,background
0.7909,0.3236,-0.0826,182.3730,-32.2266,-111.3892,background
1.1426,0.1273,0.5585,142.2729,57.1899,-30.3345,background
1.0585,-0.0366,1.7266,169.1894,39.1235,-88.5010,background
1.2427,-0.0779,2.5758,84.7168,160.1562,-95.0317,background
0.9681,0.2764,1.7831,-116.3940,148.4375,-8.3008,background
0.5857,0.1523,1.1633,-95.9473,1.0986,15.6860,background
0.5800,0.3317,-0.1528,-84.7778,-59.9365,-22.0337,background
0.8350,0.6327,-0.8997,-121.8262,-61.2183,28.2593,background
0.8301,0.8654,-1.7537,-61.2793,-148.6206,17.0898,background
0.8408,1.0052,-1.6685,-5.5542,-10.0098,-11.9629,background
0.9602,0.6366,-1.1176,90.3320,14.3433,19.4092,background
0.8545,0.4569,-0.4994,166.0766,-30.2734,31.1890,background
0.9901,-0.0975,1.4689,190.6128,-16.9067,-26.6724,background
1.0668,-0.4651,3.7177,72.2046,121.4600,-68.4814,background
0.9554,0.4100,1.1340,-120.3613,114.3799,-28.9307,background
0.4595,0.2578,0.8434,-63.2935,-52.0630,30.8228,background
0.5061,0.4351,-0.2354,-61.7065,-72.5098,-40.1611,background
0.9889,0.7754,-0.8470,-68.7866,-102.7832,-36.4990,background
1.1653,0.8459,-1.1687,-20.6909,-8.7891,-38.0859,background
1.3672,0.6873,-1.0546,50.6592,-9.2773,-16.9067,background
1.0271,0.5961,-0.7166,109.6802,0.3662,35.1563,background
0.7866,0.3184,0.0717,148.4375,-3.2349,32.2876,background
0.8063,-0.1122,1.1956,149.2920,-22.0337,-29.9072,background
0.3237,-1.3854,3.8533,91.7358,231.4453,-16.9678,background
0.9965,0.8816,-0.0802,-56.7017,-52.8564,-96.8018,background
0.5269,0.0000,0.5876,-10.9863,-78.7964,-43.0908,background
0.6183,0.1321,0.2845,28.6865,-111.2060,-36.8652,background
0.9060,0.1125,0.3000,6.5918,-177.8564,-6.9580,background
0.9869,0.1588,-0.0721,-50.7202,36.0718,85.2051,background
0.9609,0.6088,0.1200,-58.5937,51.7578,5.2490,background
1.0997,0.5148,0.0491,-5.2490,23.9258,-52.4292,background
1.1147,0.5199,0.1396,-14.3433,6.5308,-28.8086,background
1.0195,0.6389,0.1464,-12.3291,59.6924,14.2212,background
1.1200,0.6022,0.3511,13.6719,32.6538,9.0942,background
0.9601,0.5880,0.1897,93.8721,-54.8706,12.5122,background
0.9617,0.6097,0.5065,-8.5449,-28.1982,31.6772,background
1.1843,0.5107,0.5681,73.4863,56.2744,1.8311,background
1.1403,0.3982,0.6432,69.2749,24.0478,-36.8652,background
0.8508,0.0702,0.5129,71.7773,-53.4668,-70.3125,background
0.8359,0.1458,0.6595,13.6719,-104.6753,-10.4370,background
-0.2001,0.5675,-1.1084,177.6733,19.3481,168.6401,background
-0.4355,-0.2277,-0.3605,282.7759,-42.4805,111.0840,background
-0.3196,-1.0393,0.5148,330.6884,-103.5767,-148.0103,background
0.1425,-1.8396,2.1907,263.6108,-76.5381,-146.8506,background
0.3112,-1.6234,2.8621,-9.9487,92.7734,-88.0127,background
0.7322,-0.8086,2.0460,-75.2563,126.2817,-51.0864,background
0.9863,-0.3339,1.0471,-122.0093,79.4678,10.3149,background
0.6694,0.3121,-0.2584,-94.9097,-34.4849,-20.2026,background
0.9607,0.4612,-0.3726,-95.6421,103.1494,-126.7090,background
1.3928,0.2715,-0.1567,-70.8008,36.8042,-110.8398,background
0.7167,0.3455,-0.1006,-79.8340,69.2139,-51.3306,background
0.6992,0.2174,0.2239,-37.4756,80.8716,-61.8286,background
0.9222,0.0092,0.3801,0.6714,32.2876,-56.6406,background
0.8490,-0.1201,0.4799,68.7866,51.4526,14.5874,background
1.3861,-0.0746,0.4832,41.1377,183.1055,141.9067,background
1.3147,0.1292,0.4111,11.9629,190.1855,244.6289,background
1.2819,0.4124,0.1443,110.2295,51.4526,166.3818,background
1.2759,0.4235,0.0503,180.9082,-159.4238,-22.2168,background
0.9755,0.1887,0.3162,242.6147,-154.7241,-23.1934,background
0.9490,0.0353,0.5044,227.7832,-85.7544,35.8276,background
0.9160,-0.2664,1.0233,193.9087,-101.3184,31.4331,background
0.9951,-0.2002,0.9836,-89.5386,-73.9136,79.7729,background
0.7035,-0.2367,0.8033,-183.2886,-48.5229,191.8335,background
