ax,ay,az,gx,gy,gz,label
-0.1924,-0.3199,0.9205,6.3477,-2.9907,7.3853,rest
-0.1810,-0.3323,0.9211,6.1035,-3.2959,4.2114,rest
-0.1731,-0.3201,0.9294,0.1221,-1.2207,2.8687,rest
-0.1742,-0.3191,0.9277,0.0610,-0.3662,2.3193,rest
-0.1669,-0.3448,0.9200,-2.8687,0.7324,1.1597,rest
-0.1495,-0.3289,0.9388,-4.6387,1.4038,-0.8545,rest
-0.1611,-0.3103,0.9336,-3.0518,1.2207,-1.7090,rest
-0.1627,-0.3149,0.9355,-2.6245,0.1221,-1.1597,rest
-0.1720,-0.3142,0.9413,-2.0142,-0.4883,-1.2207,rest
-0.1729,-0.3126,0.9333,-1.8311,-0.3052,-2.2583,rest
-0.1754,-0.2994,0.9318,-3.7842,-0.3662,-1.4648,rest
-0.1907,-0.2734,0.9310,-0.0610,1.8311,0.9766,rest
-0.1626,-0.2837,0.9453,14.4653,6.8359,3.4180,rest
-0.1392,-0.3307,0.9408,21.1182,8.1787,3.1128,rest
-0.1454,-0.3419,0.9319,7.6294,4.0894,0.8545,rest
-0.1382,-0.3488,0.9407,7.2632,2.3804,1.5259,rest
-0.1545,-0.3258,0.9305,1.5259,-1.5869,7.0190,rest
-0.1669,-0.3356,0.9272,6.2256,-2.0752,5.6763,rest
-0.1614,-0.3453,0.9237,0.1221,0.9766,8.4839,rest
-0.1718,-0.3455,0.9219,0.3662,0.9766,8.3008,rest
-0.1531,-0.3595,0.9175,0.0000,0.1831,5.7983,rest
-0.1284,-0.3519,0.9330,-0.7935,1.7090,2.9297,rest
-0.1155,-0.3365,0.9373,1.7090,2.1362,-0.4883,rest
-0.1152,-0.3568,0.9330,-3.0518,-0.5493,0.5493,rest
-0.1365,-0.3330,0.9373,-4.9438,-1.7700,-0.4272,rest
-0.1475,-0.3076,0.9431,-0.2441,0.7935,-0.4883,rest
-0.1536,-0.3409,0.9308,2.0752,-0.6714,0.8545,rest
-0.1610,-0.3624,0.9185,1.5869,-1.3428,0.6714,rest
-0.1613,-0.3237,0.9348,-0.6714,-1.2817,1.9531,rest
-0.1630,-0.3143,0.9315,2.0142,-1.8921,6.5308,rest
-0.1439,-0.3505,0.9277,4.8218,-2.4414,5.7983,rest
-0.1588,-0.3657,0.9047,1.9531,-2.6245,4.4556,rest
